Country of Origin,1994,1998,2000,2002,2003,2005,2006,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,latitude,longitude
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,47.59397,14.12456
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61.0666922,-107.991707
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31,35.000074,104.999927
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55.670249,10.3333283
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,46.603354,1.8883335
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51.1638175,10.4478313
India,0,0,0,0,0,0,0,1,1,0,1,3,3,6,2,11,19,22.3511148,78.6677428
Italy,1,1,1,1,0,1,0,1,0,3,1,2,4,7,3,18,48,42.6384261,12.674297
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,36.5748441,139.2394179
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,36.638392,127.6961188
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39.3260685,-4.8379791
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,59.6749712,14.5208584
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,14,23.9739374,120.9820179
UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,54.7023545,-3.2765753
USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,39.7837304,-100.445882
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,54.7023545,-3.2765753
United States,0,0,0,0,2,2,1,0,0,0,5,0,0,0,1,0,8,39.7837304,-100.445882
